Address,Latitude,Longitude,Deaths
"NADIA,Chakdah Chowrastha More, Chakdah, Kalagachha to Chakdah Chowrastha
 more 3 Kms.",23.07652,88.52933,1
"COOCHBEHAR,Khagrabari Morh, Kotwali PS, Khagrabari chowpathi to Girijabari more 1 Km.",26.32388,89.45089,2
"MURSHIDABAD,Barua Crossing, Beldanga PS, Pratirodhi Club to Beldanga Hut 200 Mtrs.",23.94058,88.23395,5
"HOOGHLY,F.C.I. Crossing, Dankuni PS, Dankuni more to Maitypara 1 1/2
 Kms.",22.68668,88.29579,5
"NORTH 24-PGS,Doltala Xing, Barasat PS, Sahara Bridge to Madhyamgram 1 1/2 Kms.",22.68251,88.46043,0
"NORTH 24-PGS,Duk-Bunglow More xing, Barasat PS, Rathtala to Dukbanglow more 1/2 Km.",22.71799,88.48014,2
"NORTH 24-PGS,Champadali more, Barasat PS, Sethpukur more to Fish Market more 1/2 Kms.",22.72075,88.48579,3
"U/DINAJPUR,Purnia more, Karandighi PS, Dalkhola to Purnia more 2 Kms.",25.81541,87.91912,0
"BURDWAN,Burdwan (S) Palh, Sreerampur more, Burdwan (s) PS, Nababhut to DVC more 3 Kms.",23.23244,87.86149,4
"BURDWAN,Khana Junction more, Galsi PS, Surul more to Kulgeria Sako 3 Kms.",23.32154,87.76896,4
"BURDWAN,Panagar Bazar, Kanksa PS, Railover bridge to Darjeeling more 3.2 Kms.",23.45357,87.44751,7
"HOWRAH RURAL,Dhulagarh Xing, Sankrail PS, New korola to Dhulagarh Toll Plazza 200 Mts.",22.53386,88.22903,5
"HOWRAH RURAL,Ankurhati Xing, Domjur PS, Prasastha to Ankurhati Anchal 1 Km.",22.63384,88.22097,7
"PURBA MEDINIPUR,Deaulia Bazar, Kolaghat PS, Borda more to Haldia more 1 1/2 Kms.",22.43709,87.83976,4
"PURBA MEDINIPUR,Kanchi, Nandakumar PS,
 Hatgeria to Bankrabandh 1
 1/2 Kms.",21.93729,87.77633,4
